book_id	kind	url
000005444	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002D966
000005453	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D8CA
000005645	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B8B4
000005935	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000056634
000005935	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000005935
000005935	pdf	http://access.bl.uk/item/pdf/lsidyv3c11e28e
000005937	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005708A
000005937	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000005937
000005937	pdf	http://access.bl.uk/item/pdf/lsidyv3c1e8f56
000006036	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002AB64
000006298	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000279B4
000006451	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005C71E
000006451	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000006451
000006451	pdf	http://access.bl.uk/item/pdf/lsidyv3ca16b69
000006455	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005EDF4
000006455	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000006455
000006455	pdf	http://access.bl.uk/item/pdf/lsidyv3ce8e442
000006496	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035BA4
000006499	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035BBC
000006821	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035B86
000006832	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000004DA
000006835	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D642
000006866	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001939E
000007630	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002616
000007982	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001ED38
000008222	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000021510
000008239	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000131AC
000008411	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001796A
000008435	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002D8A
000008440	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000055032
000008523	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000057EB2
000008880	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059D0C
000008893	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059256
000009517	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036D32
000010019	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A082
000011902	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002C5B0
000012003	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003F0CC
000012068	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000339FC
000012068	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000033A02
000012123	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036DE6
000012124	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002AF18
000012489	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003DBB4
000012881	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000041AE4
000013003	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000432A8
000013074	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005BC68
000013141	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001883A
000013222	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004015E
000013364	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000045FC
000013364	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000013364
000013364	pdf	http://access.bl.uk/item/pdf/lsidyv3561002d
000013481	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000133A4
000013481	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016A3A
000013481	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000013481
000013481	pdf	http://access.bl.uk/item/pdf/lsidyv3067d922
000013680	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016E30
