book_id	primary	secondary	tertiary
002580338	Fiction	Fiction	English 3 Volume Novels
002580370	Non-Fiction	Poetry	English Selections
002580388	Fiction	Fiction	English 3 Volume Novels
002580392	Fiction	Fiction	English 1 & 2 Volume Novels
002580624	Non-Fiction	Topography	United States of America
002580687	Non-Fiction	Poetry	English
002580689	Non-Fiction	Poetry	English, Female Poets
002580722	Non-Fiction	Topography	African
002581470	Fiction	Fiction	English 1 Volume Novels
002581500	Non-Fiction	Plays	
002581550	Fiction	Fiction	English 3 Volume Novels
002581749	Fiction	Fiction	English 3 Volume Novels
002581753	Fiction	Fiction	English 3 Volume Novels
