book_id	primary	secondary	tertiary
002641731	Non-Fiction	Topography	Great Britain & Ireland
002641825	Non-Fiction	Topography	Great Britain & Ireland
002642068	Non-Fiction	Topography	Great Britain & Ireland
002642090	Non-Fiction	Poetry	English, Separate Works, 19th Century
002642228	Non-Fiction	Poetry	English, Separate Works, 19th Century
002642251	Fiction	Fiction	English 3 Volume Novels
002642354	Non-Fiction	Topography	Scotch
002642395	Non-Fiction	History	United States of America
002642633	Non-Fiction	Topography	Scotch
002642668	Non-Fiction	Topography	Irish
002642673	Non-Fiction	Geography	England
002642744	Non-Fiction	Geology	Coal
002642802	Non-Fiction	Uncategorised	
002642824	Non-Fiction	Topography	United States of America
002642830	Non-Fiction	Hydrography	
002642832	Non-Fiction	Hydrography	
002642833	Non-Fiction	Hydrography	
002642871	Fiction	Fiction	English 3 Volume Novels
002642988	Fiction	Fiction	English Separate Novels 19th Century
002643004	Non-Fiction	Uncategorised	
002643019	Non-Fiction	Topography	United States of America
002643120	Fiction	Fiction	English 3 Volume Novels
002643121	Fiction	Fiction	English 3 Volume Novels
002643237	Non-Fiction	Topography	United States of America
002643453	Non-Fiction	History	African
002643454	Non-Fiction	History	African
002643633	Non-Fiction	Collected Works	English Authors
002643651	Non-Fiction	Topography	Turkish, Break
002643791	Non-Fiction	Topography	Indian, Chinese, Japanese
002644207	Non-Fiction	Poetry	English, Separate Works, 19th Century
002644233	Non-Fiction	Essays & Moral Philosophy	
002644271	Non-Fiction	Topography	Syrian, Persian, Central Asian
002644383	Non-Fiction	Poetry	English Selections
002644451	Non-Fiction	Poetry	English Selections
002644612	Non-Fiction	Voyages & Travels	
002644741	Non-Fiction	Poetry	English, Separate Works, 19th Century
002644743	Non-Fiction	Drama	English, Separate Plays, 19th Century
002644744	Non-Fiction	Drama	English, Separate Plays, 19th Century
002644747	Non-Fiction	Poetry	English
002644906	Non-Fiction	Topography	United States of America
002644992	Non-Fiction	Uncategorised	
002644999	Non-Fiction	Plays	
002645318	Non-Fiction	Topography	English, Southern
002645458	Non-Fiction	Topography	English, Northern
002645881	Non-Fiction	Poetry	English Selections
002646391	Fiction	Fiction	English 3 Volume Novels
002646495	Non-Fiction	Topography	Syrian, Persian, Central Asian
002646496	Non-Fiction	Topography	Syrian, Persian, Central Asian
002646600	Fiction	Fiction	English 3 Volume Novels
