volume_id	book_id	volume_num	total	path	filesize
000012881_01	000012881	1	1	0000/000012881_01_text.txt	207
000013003_01	000013003	1	1	0000/000013003_01_text.txt	188
000013074_01	000013074	1	1	0000/000013074_01_text.txt	335
000013141_01	000013141	1	1	0000/000013141_01_text.txt	921
000013222_01	000013222	1	1	0000/000013222_01_text.txt	430
000013364_01	000013364	1	1	0000/000013364_01_text.txt	61
000013481_01	000013481	1	2	0000/000013481_01_text.txt	1268
000013481_02	000013481	2	2	0000/000013481_02_text.txt	1231
000013680_01	000013680	1	1	0000/000013680_01_text.txt	225
000014046_01	000014046	1	1	0000/000014046_01_text.txt	316
000014052_01	000014052	1	1	0000/000014052_01_text.txt	157
000014083_01	000014083	1	1	0000/000014083_01_text.txt	222
000014466_01	000014466	1	1	0000/000014466_01_text.txt	27
000014468_01	000014468	1	1	0000/000014468_01_text.txt	3508
000014543_01	000014543	1	1	0000/000014543_01_text.txt	617
000014563_01	000014563	1	1	0000/000014563_01_text.txt	407
000014608_01	000014608	1	1	0000/000014608_01_text.txt	373
000014617_01	000014617	1	3	0000/000014617_01_text.txt	253
000014617_02	000014617	2	3	0000/000014617_02_text.txt	245
000014617_03	000014617	3	3	0000/000014617_03_text.txt	246
000014619_01	000014619	1	3	0000/000014619_01_text.txt	267
000014619_02	000014619	2	3	0000/000014619_02_text.txt	279
000014619_03	000014619	3	3	0000/000014619_03_text.txt	404
000014620_01	000014620	1	1	0000/000014620_01_text.txt	762
000014622_01	000014622	1	2	0000/000014622_01_text.txt	239
000014622_02	000014622	2	2	0000/000014622_02_text.txt	258
000014623_01	000014623	1	1	0000/000014623_01_text.txt	486
000014627_01	000014627	1	1	0000/000014627_01_text.txt	139
000014631_01	000014631	1	1	0000/000014631_01_text.txt	423
000014633_01	000014633	1	3	0000/000014633_01_text.txt	276
000014633_02	000014633	2	3	0000/000014633_02_text.txt	255
000014633_03	000014633	3	3	0000/000014633_03_text.txt	295
000014635_01	000014635	1	1	0000/000014635_01_text.txt	814
000014638_01	000014638	1	2	0000/000014638_01_text.txt	234
000014638_02	000014638	2	2	0000/000014638_02_text.txt	255
000014639_01	000014639	1	1	0000/000014639_01_text.txt	498
000014640_01	000014640	1	3	0000/000014640_01_text.txt	336
000014640_02	000014640	2	3	0000/000014640_02_text.txt	348
000014640_03	000014640	3	3	0000/000014640_03_text.txt	446
000014642_01	000014642	1	3	0000/000014642_01_text.txt	282
000014642_02	000014642	2	3	0000/000014642_02_text.txt	276
000014642_03	000014642	3	3	0000/000014642_03_text.txt	272
000014643_01	000014643	1	3	0000/000014643_01_text.txt	237
000014643_02	000014643	2	3	0000/000014643_02_text.txt	244
000014643_03	000014643	3	3	0000/000014643_03_text.txt	244
000014644_01	000014644	1	1	0000/000014644_01_text.txt	656
000014645_01	000014645	1	3	0000/000014645_01_text.txt	300
000014645_02	000014645	2	3	0000/000014645_02_text.txt	286
000014645_03	000014645	3	3	0000/000014645_03_text.txt	287
000014646_01	000014646	1	1	0000/000014646_01_text.txt	873
000014653_01	000014653	1	3	0000/000014653_01_text.txt	258
000014653_02	000014653	2	3	0000/000014653_02_text.txt	249
000014653_03	000014653	3	3	0000/000014653_03_text.txt	305
000014668_01	000014668	1	1	0000/000014668_01_text.txt	558
000014678_01	000014678	1	2	0000/000014678_01_text.txt	227
000014678_02	000014678	2	2	0000/000014678_02_text.txt	169
000014703_01	000014703	1	1	0000/000014703_01_text.txt	923
000014753_01	000014753	1	1	0000/000014753_01_text.txt	199
000014766_01	000014766	1	2	0000/000014766_01_text.txt	917
000014766_02	000014766	2	2	0000/000014766_02_text.txt	1059
000014984_01	000014984	1	1	0000/000014984_01_text.txt	432
000015002_01	000015002	1	1	0000/000015002_01_text.txt	294
000015022_01	000015022	1	1	0000/000015022_01_text.txt	555
000015068_01	000015068	1	1	0000/000015068_01_text.txt	217
000015069_01	000015069	1	1	0000/000015069_01_text.txt	564
000015071_01	000015071	1	1	0000/000015071_01_text.txt	303
000015133_01	000015133	1	1	0000/000015133_01_text.txt	486
000015134_01	000015134	1	1	0000/000015134_01_text.txt	337
